issue,predicted_label
The power button on my phone shows signs of failure.,Hardware issue
The screen freezes after replacing the screen.,Software issue
The trackpad on my phone is physically damaged.,Hardware issue
The screen cracked randomly throughout the day.,Cracked screen
The screen goes black during video playback.,Cracked screen
My smartwatch loses charge overnight when connected to WiFi.,Battery degradation
The display shows vertical lines during gaming.,Cracked screen
My smartwatch loses charge overnight during online meetings.,Battery degradation
My laptop WiFi disconnects frequently during startup.,Software issue
The ghost touches occur when using social media.,Software issue
My smartwatch drains quickly while charging.,Battery degradation
My tablet loses charge overnight when connected to WiFi.,Battery degradation
My tablet powers off suddenly when using GPS.,Unknown
My laptop system freezes randomly after installing new software.,Software issue
The motherboard on my tablet became unresponsive.,Hardware issue
My tablet was exposed to beach sand and the screen shattered.,Software issue
The camera on my laptop stopped working.,Hardware issue
My tablet was crushed inside a bag and the screen shattered.,Cracked screen
My smartwatch loses charge overnight during standby.,Battery degradation
The microphone on my phone is physically damaged.,Hardware issue
My phone fell from a table and the touchscreen stopped working.,Hardware issue
My phone Bluetooth stops working while using multiple apps.,Software issue
The camera on my tablet is physically damaged.,Hardware issue
The brightness changes automatically after an update.,Unknown
The camera on my tablet stopped working.,Hardware issue
The trackpad on my smartwatch fails randomly.,Hardware issue
My tablet was exposed to beach sand and the touchscreen stopped working.,Hardware issue
The screen goes black while charging.,Cracked screen
The brightness changes automatically during video playback.,Unknown
My phone fell from a table and the touchscreen stopped working.,Hardware issue
The display shows vertical lines randomly throughout the day.,Cracked screen
My laptop was hit during a vehicle accident and the screen shattered.,Cracked screen
My phone gets hot while charging while gaming.,Battery degradation
My phone device restarts unexpectedly while charging.,Software issue
My laptop was exposed to heavy rain and the battery started overheating.,Battery degradation
The motherboard on my tablet is physically damaged.,Hardware issue
My tablet screen freezes when connected to the internet.,Software issue
My phone fell from a table and the display became damaged.,Cracked screen
My laptop drains quickly when using GPS.,Battery degradation
The display shows vertical lines after an update.,Cracked screen
My smartwatch Bluetooth stops working during file transfers.,Software issue
My tablet was exposed to beach sand and the touchscreen stopped working.,Hardware issue
The charging port on my smartwatch stopped working.,Hardware issue
My laptop was hit during a vehicle accident and the battery started overheating.,Battery degradation
My laptop was left inside a hot car and the touchscreen stopped working.,Hardware issue
The trackpad on my phone works intermittently.,Hardware issue
The motherboard on my tablet became unresponsive.,Hardware issue
The touchscreen is unresponsive when using social media.,Cracked screen
My phone screen freezes when connected to the internet.,Software issue
The fingerprint sensor on my phone stopped working.,Hardware issue
My phone operating system fails to boot during file transfers.,Software issue
My phone apps keep crashing during startup.,Unknown
My phone software update failed while using multiple apps.,Software issue
The display shows distorted colors when exposed to sunlight.,Software issue
My tablet gets hot while charging when using GPS.,Battery degradation
The dead pixels appeared during gaming.,Cracked screen
The power button on my phone is physically damaged.,Hardware issue
My phone was hit during a vehicle accident and the display became damaged.,Cracked screen
The power button on my laptop works intermittently.,Hardware issue
The microphone on my laptop fails randomly.,Hardware issue
My smartwatch takes too long to charge while watching videos.,Battery degradation
My tablet WiFi disconnects frequently after rebooting.,Software issue
My tablet fell into water and the battery started overheating.,Battery degradation
The trackpad on my smartwatch shows signs of failure.,Hardware issue
My phone device restarts unexpectedly during startup.,Software issue
My smartwatch settings reset automatically while charging.,Software issue
The ghost touches occur after a drop.,Software issue
My laptop was hit during a vehicle accident and the display became damaged.,Cracked screen
My tablet does not hold a charge while watching videos.,Battery degradation
The microphone on my smartwatch fails randomly.,Hardware issue
My phone discharges while idle while watching videos.,Battery degradation
My laptop system freezes randomly while charging.,Software issue
My laptop was dropped down stairs and no longer turns on.,Water/Liquid damage
My laptop apps keep crashing during normal operation.,Unknown
The screen cracked during video playback.,Cracked screen
The power button on my phone shows signs of failure.,Hardware issue
My phone was exposed to beach sand and the touchscreen stopped working.,Hardware issue
The microphone on my laptop produces unusual behavior.,Hardware issue
My laptop WiFi disconnects frequently during file transfers.,Software issue
My smartwatch loses battery health rapidly while watching videos.,Battery degradation
My phone loses battery health rapidly during video calls.,Battery degradation
My smartwatch drains quickly during video calls.,Battery degradation
My laptop drops from full charge within hours when using GPS.,Battery degradation
The keyboard on my laptop disconnects frequently.,Hardware issue
The charging port on my laptop works intermittently.,Hardware issue
The microphone on my smartwatch became unresponsive.,Hardware issue
The touchscreen is unresponsive when exposed to sunlight.,Software issue
The speaker on my laptop works intermittently.,Hardware issue
My phone fell into water and random shutdowns started occurring.,Water/Liquid damage
My tablet loses battery health rapidly during online meetings.,Battery degradation
My tablet Bluetooth stops working after installing new software.,Software issue
My phone drops from full charge within hours when using GPS.,Battery degradation
My tablet loses battery health rapidly during standby.,Battery degradation
My laptop system freezes randomly when opening settings.,Software issue
The speaker on my laptop became unresponsive.,Hardware issue
My laptop loses battery health rapidly while charging.,Battery degradation
The trackpad on my smartwatch malfunctions during use.,Hardware issue
My tablet was dropped down stairs and the display became damaged.,Cracked screen
My laptop screen freezes when connected to the internet.,Software issue
My laptop dies unexpectedly during online meetings.,Battery degradation
My laptop WiFi disconnects frequently during startup.,Software issue
My tablet device restarts unexpectedly during normal operation.,Software issue
The screen flickers during normal use.,Cracked screen
The trackpad on my smartwatch works intermittently.,Hardware issue
My smartwatch screen freezes after rebooting.,Software issue
The microphone on my laptop shows signs of failure.,Hardware issue
My phone fell into water and random shutdowns started occurring.,Water/Liquid damage
My laptop does not hold a charge while gaming.,Battery degradation
The fingerprint sensor on my phone became unresponsive.,Hardware issue
The power button on my tablet fails randomly.,Hardware issue
The speaker on my smartwatch shows signs of failure.,Hardware issue
My smartwatch WiFi disconnects frequently while charging.,Software issue
My tablet fell from a table and random shutdowns started occurring.,Unknown
The dead pixels appeared after a drop.,Cracked screen
The screen flickers after an update.,Cracked screen
My laptop apps keep crashing after installing new software.,Software issue
My phone fell into water and the battery started overheating.,Battery degradation
My phone screen freezes when connected to the internet.,Software issue
My tablet loses battery health rapidly when connected to WiFi.,Battery degradation
My tablet screen freezes when opening settings.,Software issue
The microphone on my phone became unresponsive.,Hardware issue
The ghost touches occur after replacing the screen.,Software issue
The screen freezes randomly throughout the day.,Software issue
My laptop screen freezes during file transfers.,Software issue
My tablet system freezes randomly when opening settings.,Software issue
The screen freezes while charging.,Software issue
My phone device restarts unexpectedly during file transfers.,Software issue
The motherboard on my tablet malfunctions during use.,Hardware issue
My smartwatch drains quickly while watching videos.,Battery degradation
My tablet WiFi disconnects frequently while using multiple apps.,Software issue
The ghost touches occur when exposed to sunlight.,Software issue
My tablet was dropped down stairs and several buttons stopped responding.,Water/Liquid damage
My tablet was left inside a hot car and several buttons stopped responding.,Water/Liquid damage
The microphone on my phone produces unusual behavior.,Hardware issue
My phone apps keep crashing when opening settings.,Unknown
My laptop takes too long to charge during standby.,Battery degradation
My smartwatch drains quickly while charging.,Battery degradation
My laptop had coffee spilled on it and no longer turns on.,Water/Liquid damage
My phone settings reset automatically while charging.,Software issue
The dead pixels appeared while charging.,Cracked screen
My phone was exposed to heavy rain and the touchscreen stopped working.,Hardware issue
My phone device restarts unexpectedly during startup.,Software issue
My laptop system freezes randomly during file transfers.,Software issue
My tablet discharges while idle during standby.,Battery degradation
My smartwatch discharges while idle during standby.,Battery degradation
The keyboard on my tablet produces unusual behavior.,Hardware issue
My tablet device restarts unexpectedly when opening settings.,Software issue
My tablet WiFi disconnects frequently after updating.,Software issue
My smartwatch device restarts unexpectedly when connected to the internet.,Software issue
The keyboard on my tablet stopped working.,Hardware issue
My tablet WiFi disconnects frequently while using multiple apps.,Software issue
The power button on my tablet became unresponsive.,Hardware issue
My laptop device restarts unexpectedly after installing new software.,Software issue
The screen cracked randomly throughout the day.,Cracked screen
My tablet loses charge overnight while gaming.,Battery degradation
My smartwatch was left inside a hot car and several buttons stopped responding.,Water/Liquid damage
My tablet WiFi disconnects frequently when connected to the internet.,Software issue
My smartwatch loses charge overnight when using GPS.,Battery degradation
The camera on my tablet produces unusual behavior.,Hardware issue
The camera on my smartwatch works intermittently.,Hardware issue
The touchscreen is unresponsive randomly throughout the day.,Cracked screen
My smartwatch Bluetooth stops working while using multiple apps.,Software issue
My phone device restarts unexpectedly while charging.,Software issue
My laptop device enters a boot loop while charging.,Software issue
My tablet software update failed while charging.,Software issue
My tablet system freezes randomly while charging.,Software issue
My tablet was dropped on concrete and charging no longer works.,Water/Liquid damage
My tablet was hit during a vehicle accident and the touchscreen stopped working.,Hardware issue
My phone settings reset automatically when opening settings.,Software issue
The ghost touches occur during normal use.,Software issue
The screen flickers after a drop.,Cracked screen
My laptop Bluetooth stops working when connected to the internet.,Software issue
My smartwatch gets hot while charging when connected to WiFi.,Battery degradation
My laptop powers off suddenly during video calls.,Unknown
My tablet was exposed to beach sand and random shutdowns started occurring.,Software issue
My laptop device enters a boot loop when opening settings.,Software issue
The display shows distorted colors during gaming.,Cracked screen
The display shows distorted colors while charging.,Cracked screen
My tablet powers off suddenly during standby.,Unknown
My smartwatch drops from full charge within hours during online meetings.,Battery degradation
My smartwatch was exposed to heavy rain and several buttons stopped responding.,Software issue
My laptop was exposed to heavy rain and the screen shattered.,Software issue
My phone takes too long to charge during video calls.,Battery degradation
The power button on my tablet works intermittently.,Hardware issue
My phone was exposed to heavy rain and the screen shattered.,Software issue
My tablet software update failed during normal operation.,Software issue
My smartwatch was hit during a vehicle accident and random shutdowns started occurring.,Unknown
The speaker on my smartwatch became unresponsive.,Hardware issue
My tablet was hit during a vehicle accident and the touchscreen stopped working.,Hardware issue
My tablet gets hot while charging after a software update.,Battery degradation
The display shows distorted colors after replacing the screen.,Cracked screen
My laptop device restarts unexpectedly after updating.,Software issue
My laptop drops from full charge within hours during normal use.,Battery degradation
The camera on my phone stopped working.,Hardware issue
My smartwatch apps keep crashing after installing new software.,Software issue
The screen cracked after a drop.,Cracked screen
The speaker on my smartwatch produces unusual behavior.,Hardware issue
The touchscreen is unresponsive during normal use.,Cracked screen
The USB port on my laptop fails randomly.,Hardware issue
The motherboard on my tablet became unresponsive.,Hardware issue
My smartwatch was crushed inside a bag and the screen shattered.,Cracked screen
My laptop was crushed inside a bag and internal components failed.,Water/Liquid damage
My tablet was hit during a vehicle accident and the touchscreen stopped working.,Hardware issue
My phone settings reset automatically when connected to the internet.,Software issue
The speaker on my laptop works intermittently.,Hardware issue
My laptop was hit during a vehicle accident and the screen shattered.,Cracked screen
The motherboard on my tablet shows signs of failure.,Hardware issue
My laptop powers off suddenly while gaming.,Unknown
The speaker on my phone is physically damaged.,Hardware issue
My phone fell into water and several buttons stopped responding.,Water/Liquid damage
My tablet dies unexpectedly after a software update.,Battery degradation
My laptop powers off suddenly during standby.,Unknown
My tablet device restarts unexpectedly when connected to the internet.,Software issue
The power button on my tablet stopped working.,Hardware issue
My laptop does not hold a charge when using GPS.,Battery degradation
My phone had coffee spilled on it and several buttons stopped responding.,Water/Liquid damage
My tablet drains quickly when connected to WiFi.,Battery degradation
My tablet Bluetooth stops working during startup.,Software issue
My smartwatch WiFi disconnects frequently while charging.,Software issue
My phone had coffee spilled on it and the battery started overheating.,Battery degradation
My tablet does not hold a charge during video calls.,Battery degradation
My laptop Bluetooth stops working during normal operation.,Software issue
My laptop discharges while idle when connected to WiFi.,Battery degradation
The motherboard on my smartwatch is physically damaged.,Hardware issue
My tablet WiFi disconnects frequently after updating.,Software issue
My phone had coffee spilled on it and the display became damaged.,Cracked screen
My tablet WiFi disconnects frequently when connected to the internet.,Software issue
My smartwatch was hit during a vehicle accident and charging no longer works.,Unknown
My smartwatch was left inside a hot car and several buttons stopped responding.,Water/Liquid damage
The camera on my laptop works intermittently.,Hardware issue
The fingerprint sensor on my phone works intermittently.,Hardware issue
My tablet software update failed while charging.,Software issue
My tablet was crushed inside a bag and the display became damaged.,Cracked screen
My laptop was dropped down stairs and charging no longer works.,Water/Liquid damage
The power button on my smartwatch is not detected.,Hardware issue
My smartwatch fell from a table and the screen shattered.,Cracked screen
My tablet WiFi disconnects frequently when opening settings.,Software issue
My tablet operating system fails to boot when connected to the internet.,Software issue
The screen goes black when exposed to sunlight.,Software issue
My laptop was dropped down stairs and the speaker became distorted.,Hardware issue
My laptop discharges while idle during standby.,Battery degradation
My phone drains quickly during normal use.,Battery degradation
The screen goes black after replacing the screen.,Cracked screen
My smartwatch system freezes randomly when connected to the internet.,Software issue
My smartwatch does not hold a charge when connected to WiFi.,Battery degradation
The speaker on my phone disconnects frequently.,Hardware issue
My tablet was dropped on concrete and no longer turns on.,Water/Liquid damage
My smartwatch drains quickly during standby.,Battery degradation
The screen goes black during normal use.,Cracked screen
The touchscreen is unresponsive during normal use.,Cracked screen
My phone software update failed when connected to the internet.,Software issue
The dead pixels appeared after an update.,Cracked screen
My smartwatch was exposed to heavy rain and internal components failed.,Software issue
The ghost touches occur after replacing the screen.,Software issue
My smartwatch dies unexpectedly while watching videos.,Battery degradation
The screen flickers after replacing the screen.,Cracked screen
My laptop loses charge overnight during normal use.,Battery degradation
My phone screen freezes after installing new software.,Software issue
My smartwatch was dropped down stairs and the touchscreen stopped working.,Hardware issue
My phone does not hold a charge while charging.,Battery degradation
My laptop device enters a boot loop after rebooting.,Software issue
The display shows vertical lines during video playback.,Cracked screen
My phone software update failed when opening settings.,Software issue
The trackpad on my smartwatch stopped working.,Hardware issue
My laptop settings reset automatically during normal operation.,Software issue
The dead pixels appeared after replacing the screen.,Cracked screen
The dead pixels appeared while charging.,Cracked screen
The touchscreen is unresponsive when exposed to sunlight.,Software issue
My phone operating system fails to boot during file transfers.,Software issue
The brightness changes automatically when exposed to sunlight.,Software issue
My tablet discharges while idle during standby.,Battery degradation
The screen flickers during normal use.,Cracked screen
The ghost touches occur after an update.,Software issue
My laptop powers off suddenly while charging.,Unknown
The USB port on my smartwatch disconnects frequently.,Hardware issue
My tablet apps keep crashing after rebooting.,Unknown
The power button on my smartwatch fails randomly.,Hardware issue
My smartwatch operating system fails to boot during startup.,Software issue
My smartwatch system freezes randomly during normal operation.,Software issue
My phone system freezes randomly when opening settings.,Software issue
The display shows distorted colors when exposed to sunlight.,Software issue
My laptop was dropped down stairs and internal components failed.,Water/Liquid damage
The motherboard on my phone became unresponsive.,Hardware issue
My laptop was hit during a vehicle accident and the touchscreen stopped working.,Hardware issue
My laptop was hit during a vehicle accident and the battery started overheating.,Battery degradation
My tablet Bluetooth stops working while charging.,Software issue
My phone loses battery health rapidly after a software update.,Battery degradation
My smartwatch settings reset automatically during startup.,Software issue
The USB port on my tablet is not detected.,Hardware issue
The dead pixels appeared during video playback.,Cracked screen
The camera on my phone shows signs of failure.,Hardware issue
My smartwatch was crushed inside a bag and random shutdowns started occurring.,Water/Liquid damage
The brightness changes automatically after an update.,Unknown
My smartwatch WiFi disconnects frequently while charging.,Software issue
The dead pixels appeared when exposed to sunlight.,Software issue
My tablet software update failed during file transfers.,Software issue
The microphone on my smartwatch is physically damaged.,Hardware issue
My smartwatch fell into water and the screen shattered.,Cracked screen
The brightness changes automatically while charging.,Unknown
My laptop system freezes randomly after updating.,Software issue
The microphone on my tablet shows signs of failure.,Hardware issue
My tablet loses battery health rapidly during online meetings.,Battery degradation
My laptop Bluetooth stops working while using multiple apps.,Software issue
My laptop loses charge overnight while charging.,Battery degradation
My smartwatch software update failed during normal operation.,Software issue
My tablet powers off suddenly during video calls.,Unknown
My smartwatch settings reset automatically when opening settings.,Software issue
The brightness changes automatically during gaming.,Unknown
The camera on my tablet stopped working.,Hardware issue
The camera on my smartwatch became unresponsive.,Hardware issue
My laptop fell into water and no longer turns on.,Water/Liquid damage
My laptop was exposed to beach sand and several buttons stopped responding.,Software issue
My smartwatch system freezes randomly when opening settings.,Software issue
The fingerprint sensor on my laptop is physically damaged.,Hardware issue
My laptop fell into water and the speaker became distorted.,Hardware issue
My smartwatch software update failed when opening settings.,Software issue
My tablet takes too long to charge during normal use.,Battery degradation
My tablet loses charge overnight while gaming.,Battery degradation
My smartwatch settings reset automatically during startup.,Software issue
My smartwatch Bluetooth stops working during file transfers.,Software issue
My tablet was crushed inside a bag and the screen shattered.,Cracked screen
My smartwatch was crushed inside a bag and random shutdowns started occurring.,Water/Liquid damage
The brightness changes automatically after a drop.,Unknown
My phone fell into water and the touchscreen stopped working.,Hardware issue
My laptop dies unexpectedly during standby.,Battery degradation
The ghost touches occur while charging.,Software issue
The trackpad on my tablet produces unusual behavior.,Hardware issue
The motherboard on my phone works intermittently.,Hardware issue
My smartwatch was left inside a hot car and the speaker became distorted.,Hardware issue
My phone drains quickly during online meetings.,Battery degradation
The speaker on my smartwatch fails randomly.,Hardware issue
The keyboard on my laptop fails randomly.,Hardware issue
My laptop WiFi disconnects frequently after rebooting.,Software issue
The screen freezes randomly throughout the day.,Software issue
The screen cracked during gaming.,Cracked screen
The screen cracked randomly throughout the day.,Cracked screen
The display shows vertical lines while charging.,Cracked screen
My laptop device restarts unexpectedly during file transfers.,Software issue
My tablet dies unexpectedly after a software update.,Battery degradation
My phone device enters a boot loop after installing new software.,Software issue
The screen goes black when exposed to sunlight.,Software issue
My laptop was exposed to heavy rain and the battery started overheating.,Battery degradation
My laptop was crushed inside a bag and internal components failed.,Water/Liquid damage
My phone operating system fails to boot while using multiple apps.,Software issue
My smartwatch device restarts unexpectedly while charging.,Software issue
My smartwatch dies unexpectedly after a software update.,Battery degradation
My smartwatch screen freezes during file transfers.,Software issue
The screen goes black when using social media.,Cracked screen
The screen cracked during video playback.,Cracked screen
The power button on my smartwatch works intermittently.,Hardware issue
The camera on my smartwatch fails randomly.,Hardware issue
The display shows vertical lines when exposed to sunlight.,Software issue
The USB port on my smartwatch works intermittently.,Hardware issue
The screen flickers randomly throughout the day.,Cracked screen
My smartwatch had coffee spilled on it and charging no longer works.,Water/Liquid damage
The display shows distorted colors when using social media.,Cracked screen
My phone had coffee spilled on it and the display became damaged.,Cracked screen
The brightness changes automatically when exposed to sunlight.,Software issue
The display shows vertical lines during gaming.,Cracked screen
The display shows distorted colors after a drop.,Cracked screen
The ghost touches occur during normal use.,Software issue
My phone fell from a table and internal components failed.,Unknown
My tablet system freezes randomly while using multiple apps.,Software issue
My smartwatch operating system fails to boot during file transfers.,Software issue
My phone discharges while idle when connected to WiFi.,Battery degradation
My smartwatch does not hold a charge while gaming.,Battery degradation
The camera on my laptop fails randomly.,Hardware issue
My smartwatch loses battery health rapidly when connected to WiFi.,Battery degradation
The screen flickers after a drop.,Cracked screen
The screen freezes after an update.,Software issue
My phone was dropped on concrete and internal components failed.,Water/Liquid damage
My smartwatch was exposed to heavy rain and charging no longer works.,Software issue
My tablet discharges while idle during video calls.,Battery degradation
My phone powers off suddenly during normal use.,Unknown
The screen flickers after an update.,Cracked screen
My smartwatch WiFi disconnects frequently while using multiple apps.,Software issue
The keyboard on my tablet is physically damaged.,Hardware issue
My smartwatch was exposed to beach sand and no longer turns on.,Software issue
The power button on my phone works intermittently.,Hardware issue
My tablet dies unexpectedly when connected to WiFi.,Battery degradation
My phone takes too long to charge while watching videos.,Battery degradation
My laptop was exposed to beach sand and internal components failed.,Software issue
My smartwatch screen freezes when connected to the internet.,Software issue
The keyboard on my tablet disconnects frequently.,Hardware issue
My phone fell from a table and charging no longer works.,Unknown
My smartwatch drains quickly when using GPS.,Battery degradation
The camera on my phone became unresponsive.,Hardware issue
The motherboard on my laptop is not detected.,Hardware issue
My smartwatch WiFi disconnects frequently while using multiple apps.,Software issue
The camera on my tablet produces unusual behavior.,Hardware issue
My tablet settings reset automatically when opening settings.,Software issue
The power button on my phone malfunctions during use.,Hardware issue
My laptop powers off suddenly when connected to WiFi.,Unknown
My tablet Bluetooth stops working during file transfers.,Software issue
My phone system freezes randomly after installing new software.,Software issue
My laptop fell from a table and the touchscreen stopped working.,Hardware issue
My smartwatch gets hot while charging when using GPS.,Battery degradation
My laptop does not hold a charge during normal use.,Battery degradation
The power button on my laptop works intermittently.,Hardware issue
My phone takes too long to charge during video calls.,Battery degradation
My smartwatch was crushed inside a bag and several buttons stopped responding.,Water/Liquid damage
The trackpad on my laptop is not detected.,Hardware issue
My smartwatch fell from a table and internal components failed.,Unknown
My tablet was exposed to heavy rain and charging no longer works.,Software issue
My smartwatch device restarts unexpectedly while using multiple apps.,Software issue
The trackpad on my laptop malfunctions during use.,Hardware issue
My smartwatch device restarts unexpectedly after updating.,Software issue
The trackpad on my tablet disconnects frequently.,Hardware issue
The fingerprint sensor on my tablet disconnects frequently.,Hardware issue
My smartwatch gets hot while charging while charging.,Battery degradation
The trackpad on my laptop fails randomly.,Hardware issue
The trackpad on my laptop stopped working.,Hardware issue
My laptop was dropped on concrete and the display became damaged.,Cracked screen
The screen freezes during video playback.,Software issue
The screen freezes during normal use.,Software issue
My tablet was hit during a vehicle accident and charging no longer works.,Unknown
My smartwatch drains quickly during video calls.,Battery degradation
The camera on my smartwatch became unresponsive.,Hardware issue
The dead pixels appeared when using social media.,Cracked screen
The touchscreen is unresponsive after an update.,Cracked screen
My laptop was exposed to beach sand and internal components failed.,Software issue
My laptop drains quickly when connected to WiFi.,Battery degradation
My smartwatch drops from full charge within hours during normal use.,Battery degradation
My smartwatch screen freezes during normal operation.,Software issue
My smartwatch had coffee spilled on it and the battery started overheating.,Battery degradation
My smartwatch drains quickly when using GPS.,Battery degradation
The touchscreen is unresponsive after replacing the screen.,Cracked screen
The screen freezes while charging.,Software issue
My phone takes too long to charge during video calls.,Battery degradation
The motherboard on my smartwatch fails randomly.,Hardware issue
My smartwatch gets hot while charging during normal use.,Battery degradation
My tablet dies unexpectedly when using GPS.,Battery degradation
My phone system freezes randomly while using multiple apps.,Software issue
The dead pixels appeared while charging.,Cracked screen
My laptop was left inside a hot car and random shutdowns started occurring.,Water/Liquid damage
My smartwatch software update failed after installing new software.,Software issue
My tablet loses charge overnight during standby.,Battery degradation
My phone was dropped on concrete and internal components failed.,Water/Liquid damage
The fingerprint sensor on my tablet works intermittently.,Hardware issue
My smartwatch does not hold a charge when connected to WiFi.,Battery degradation
The screen freezes during video playback.,Software issue
My tablet had coffee spilled on it and the screen shattered.,Cracked screen
My tablet loses battery health rapidly during normal use.,Battery degradation
My laptop loses battery health rapidly during standby.,Battery degradation
The fingerprint sensor on my laptop shows signs of failure.,Hardware issue
The keyboard on my laptop disconnects frequently.,Hardware issue
My tablet was dropped down stairs and the speaker became distorted.,Hardware issue
The dead pixels appeared during gaming.,Cracked screen
My phone was exposed to beach sand and the speaker became distorted.,Hardware issue
The keyboard on my phone fails randomly.,Hardware issue
My tablet drains quickly while watching videos.,Battery degradation
My laptop loses charge overnight during standby.,Battery degradation
My laptop settings reset automatically during startup.,Software issue
My smartwatch operating system fails to boot during startup.,Software issue
My phone was exposed to heavy rain and the touchscreen stopped working.,Hardware issue
My laptop system freezes randomly while charging.,Software issue
My phone settings reset automatically during startup.,Software issue
My phone loses charge overnight when connected to WiFi.,Battery degradation
My phone fell from a table and the screen shattered.,Cracked screen
My phone loses charge overnight when using GPS.,Battery degradation
The camera on my smartwatch is physically damaged.,Hardware issue
My laptop dies unexpectedly when connected to WiFi.,Battery degradation
My tablet dies unexpectedly when connected to WiFi.,Battery degradation
The screen freezes after a drop.,Software issue
My laptop was crushed inside a bag and the screen shattered.,Cracked screen
The keyboard on my phone produces unusual behavior.,Hardware issue
The fingerprint sensor on my smartwatch produces unusual behavior.,Hardware issue
My smartwatch was crushed inside a bag and the touchscreen stopped working.,Hardware issue
The USB port on my smartwatch fails randomly.,Hardware issue
The trackpad on my laptop malfunctions during use.,Hardware issue
My phone apps keep crashing while using multiple apps.,Unknown
My laptop powers off suddenly during standby.,Unknown
My laptop was exposed to heavy rain and internal components failed.,Software issue
The charging port on my phone became unresponsive.,Hardware issue
My tablet powers off suddenly after a software update.,Software issue
The screen flickers randomly throughout the day.,Cracked screen
The charging port on my phone is not detected.,Hardware issue
The screen flickers while charging.,Cracked screen
The fingerprint sensor on my smartwatch fails randomly.,Hardware issue
The display shows distorted colors when exposed to sunlight.,Software issue
My laptop loses charge overnight when using GPS.,Battery degradation
My tablet was exposed to heavy rain and internal components failed.,Software issue
My tablet loses charge overnight while charging.,Battery degradation
The camera on my tablet is not detected.,Hardware issue
The display shows distorted colors while charging.,Cracked screen
My phone software update failed during file transfers.,Software issue
My smartwatch does not hold a charge during standby.,Battery degradation
My smartwatch device restarts unexpectedly when connected to the internet.,Software issue
The screen goes black randomly throughout the day.,Cracked screen
The microphone on my smartwatch produces unusual behavior.,Hardware issue
The microphone on my phone is physically damaged.,Hardware issue
My tablet does not hold a charge during standby.,Battery degradation
The motherboard on my phone malfunctions during use.,Hardware issue
My laptop drains quickly during normal use.,Battery degradation
My tablet fell into water and random shutdowns started occurring.,Water/Liquid damage
My laptop had coffee spilled on it and no longer turns on.,Water/Liquid damage
The keyboard on my laptop works intermittently.,Hardware issue
The dead pixels appeared when exposed to sunlight.,Software issue
My smartwatch system freezes randomly when connected to the internet.,Software issue
The camera on my phone is not detected.,Hardware issue
My laptop gets hot while charging during video calls.,Battery degradation
My smartwatch screen freezes during file transfers.,Software issue
My tablet system freezes randomly after installing new software.,Software issue
The camera on my laptop is not detected.,Hardware issue
The screen flickers while charging.,Cracked screen
The screen freezes when exposed to sunlight.,Software issue
My smartwatch settings reset automatically after rebooting.,Software issue
The motherboard on my smartwatch malfunctions during use.,Hardware issue
My laptop operating system fails to boot during file transfers.,Software issue
My phone loses charge overnight after a software update.,Battery degradation
My phone was exposed to heavy rain and charging no longer works.,Software issue
My smartwatch was crushed inside a bag and several buttons stopped responding.,Water/Liquid damage
My smartwatch was crushed inside a bag and random shutdowns started occurring.,Water/Liquid damage
My tablet WiFi disconnects frequently during normal operation.,Software issue
My tablet was dropped down stairs and the screen shattered.,Cracked screen
My laptop Bluetooth stops working during normal operation.,Software issue
My laptop settings reset automatically when connected to the internet.,Software issue
The screen goes black during video playback.,Cracked screen
My tablet loses charge overnight during standby.,Battery degradation
My smartwatch WiFi disconnects frequently when opening settings.,Software issue
My phone drops from full charge within hours during standby.,Battery degradation
The screen goes black during video playback.,Cracked screen
My smartwatch drops from full charge within hours when connected to WiFi.,Battery degradation
My tablet was dropped down stairs and random shutdowns started occurring.,Water/Liquid damage
My laptop software update failed during startup.,Software issue
My smartwatch system freezes randomly during startup.,Software issue
The touchscreen is unresponsive while charging.,Cracked screen
The speaker on my tablet shows signs of failure.,Hardware issue
The camera on my laptop fails randomly.,Hardware issue
My laptop loses battery health rapidly while gaming.,Battery degradation
My laptop loses charge overnight when connected to WiFi.,Battery degradation
My tablet takes too long to charge when using GPS.,Battery degradation
The dead pixels appeared after replacing the screen.,Cracked screen
My smartwatch device enters a boot loop during normal operation.,Software issue
The screen cracked randomly throughout the day.,Cracked screen
My tablet operating system fails to boot when opening settings.,Software issue
The power button on my smartwatch is not detected.,Hardware issue
The power button on my laptop shows signs of failure.,Hardware issue
The screen cracked during normal use.,Cracked screen
My smartwatch had coffee spilled on it and the battery started overheating.,Battery degradation
My laptop drains quickly during standby.,Battery degradation
The display shows distorted colors after an update.,Cracked screen
My phone had coffee spilled on it and internal components failed.,Water/Liquid damage
My laptop operating system fails to boot while charging.,Software issue
My laptop system freezes randomly after rebooting.,Software issue
The keyboard on my smartwatch shows signs of failure.,Hardware issue
My tablet fell into water and charging no longer works.,Water/Liquid damage
My laptop was crushed inside a bag and the speaker became distorted.,Hardware issue
My tablet was hit during a vehicle accident and the screen shattered.,Cracked screen
The keyboard on my smartwatch shows signs of failure.,Hardware issue
The camera on my smartwatch works intermittently.,Hardware issue
My phone was hit during a vehicle accident and the speaker became distorted.,Hardware issue
The speaker on my phone works intermittently.,Hardware issue
The brightness changes automatically when using social media.,Unknown
My laptop powers off suddenly when using GPS.,Unknown
The keyboard on my phone fails randomly.,Hardware issue
The display shows vertical lines while charging.,Cracked screen
My tablet was crushed inside a bag and several buttons stopped responding.,Water/Liquid damage
